Acadorgs,Morrison Hall,Physical Sciences Building,Rockefeller Hall,Olin Hall,Baker Laboratory,White Hall,Weill Hall,Riley-Robb Hall,Plant Science Building,Warren Hall,Statler Hall Auditorium,Thurston Hall,Stocking Hall West,Ives Hall,Willard Straight Hall,Martha Van Rensselaer Hall,Morrill Hall,Frank H T Rhodes Hall,Stocking Hall,Clark Hall,McGraw Hall,Uris Hall,Biological Sciences,Upson Hall,Emerson Hall,Savage Hall,Mann Library,Snee Hall,Malott Hall,Hollister Hall,Balch Hall,Bill and Melinda Gates Hall,Martha Van Rensselaer Hall Wst,Goldwin Smith Hall,King-Shaw Hall,Mann Library Addition,Kennedy Hall,Milstein Hall,Phillips Hall,Biotechnology,Klarman Hall,Uris Library,Anabel Taylor Hall,Sibley Hall,Schwartz Ctr Performing Arts,Bailey Hall
BEE,0.102957294,0.610824027,0.584532697,0.674294508,0.6207287029999999,0.7887484370000001,0.33042639,0.0,0.34282845,0.382075337,0.556721294,0.651400677,0.096834343,0.50947105,0.737047545,0.48053775600000004,0.74524851,0.546440165,0.096834343,0.5760652470000001,0.766325877,0.5697205120000001,0.37693759600000004,0.590042005,0.2957387,0.528299281,0.332883441,0.7091862040000001,0.488423923,0.69016081,0.660456521,0.493099123,0.48053775600000004,0.667979883,0.46057741,0.332883441,0.44296659899999996,0.734863171,0.5585204220000001,0.369820264,0.644055799,0.7378366829999999,0.737609002,0.746931757,0.786295968,0.511507293
COMS,0.5938057870000001,0.34274167,0.281337906,0.185816082,0.363273666,0.43532273299999996,0.213634312,0.493099123,0.299524844,0.34648773899999996,0.07482416900000001,0.166427921,0.513064052,0.152510271,0.268826768,0.36206476600000004,0.3387521,0.114826985,0.513064052,0.33235640000000005,0.38437121399999996,0.16811022,0.20393491600000002,0.110964171,0.347028857,0.327044063,0.349046309,0.223087383,0.223444132,0.201118892,0.5561798729999999,0.0,0.36206476600000004,0.31529557199999997,0.13618802800000002,0.349046309,0.22767677100000003,0.452022175,0.07033803599999999,0.15614755,0.30500684,0.304350898,0.245091671,0.441477777,0.316390155,0.292691756
PAM,0.543746347,0.15836382400000001,0.172672359,0.431120934,0.158815948,0.34257150700000005,0.222994268,0.48053775600000004,0.146129862,0.09864061699999999,0.356358206,0.49309372,0.42898577600000004,0.22646651,0.423463441,0.0,0.350485948,0.476851087,0.42898577600000004,0.12326604099999999,0.344454108,0.26347038100000003,0.187864508,0.458087539,0.18480666399999998,0.07440305900000001,0.14796125,0.5355491720000001,0.146155192,0.509763993,0.213686084,0.36206476600000004,0.0,0.25276159800000003,0.226010966,0.14796125,0.13493861699999998,0.26348989,0.41603801799999995,0.249472936,0.22811585,0.37427866200000004,0.49845291700000005,0.28253718899999997,0.641385684,0.09037216
BMEP,0.420573055,0.302027522,0.26317705399999997,0.367136975,0.316642384,0.466767029,0.0,0.33042639,0.10014050599999999,0.160389594,0.253966824,0.37841345200000004,0.322212771,0.17983664800000002,0.41393601799999996,0.222994268,0.41509974299999997,0.313415518,0.322212771,0.27201707199999997,0.438714114,0.240777772,0.049321705,0.32459454600000004,0.135249583,0.23476868,0.144988748,0.43337635,0.164544722,0.40973604799999996,0.436605355,0.213634312,0.222994268,0.341951121,0.132700982,0.144988748,0.12381062400000001,0.43056076200000004,0.283388618,0.057498451,0.319300105,0.40798108200000005,0.435951385,0.435902535,0.52980942,0.20716406699999998
CEE,0.791954776,0.430726922,0.372281682,0.096968794,0.450435326,0.438169013,0.40973604799999996,0.69016081,0.48475894799999997,0.5215476960000001,0.160530099,0.041414683,0.714003185,0.28443209,0.188395545,0.509763993,0.320779329,0.163580396,0.714003185,0.43709435799999996,0.37631800299999996,0.250540048,0.39017681600000004,0.102082425,0.538325935,0.453727363,0.5342161120000001,0.025788448999999998,0.36408658,5.91e-05,0.668976635,0.201118892,0.509763993,0.356426979,0.30111285,0.5342161120000001,0.38840871299999996,0.500119206,0.132206034,0.35283498399999996,0.36096596799999997,0.266819998,0.08382958900000001,0.47769149899999996,0.13173345,0.42402290200000003
EN,0.7675396390000001,0.37341608200000004,0.3152723,0.042737458,0.393076973,0.385319315,0.371535635,0.667117229,0.44005498299999996,0.47321930799999995,0.11761274199999999,0.067278818,0.683964923,0.232878027,0.143549649,0.456247442,0.26876542800000003,0.172631488,0.683964923,0.380311191,0.32401126,0.194876209,0.347249242,0.10291155699999999,0.495792574,0.398316303,0.48900136299999997,0.082016256,0.311423308,0.057413507999999995,0.611908467,0.174088102,0.456247442,0.29955797100000003,0.254733021,0.48900136299999997,0.338593022,0.443729284,0.114190642,0.31604109,0.303660485,0.21635244,0.071790699,0.421952004,0.18731182300000002,0.369337281
ECE,0.660056978,0.37364341,0.311420632,0.137406933,0.39438629,0.437093799,0.283388618,0.5585204220000001,0.36634402,0.410154452,0.069355482,0.09618356300000001,0.5820046329999999,0.19360100600000002,0.234221669,0.41603801799999995,0.329832648,0.082016299,0.5820046329999999,0.369453904,0.38076274,0.187030748,0.27050075100000004,0.042980582,0.415815857,0.37251403200000005,0.41604624100000004,0.153253319,0.271909837,0.132206034,0.599527115,0.07033803599999999,0.41603801799999995,0.327251213,0.192252067,0.41604624100000004,0.284592444,0.470561425,0.0,0.225903943,0.322237716,0.286728544,0.185817537,0.455461874,0.246422119,0.3392423
BIOMG,0.46450902299999997,0.29785526,0.249906624,0.313951902,0.314952148,0.447664935,0.057498451,0.369820264,0.149587306,0.204718924,0.198842087,0.321058112,0.371622888,0.143775702,0.367742284,0.249472936,0.383634084,0.257882395,0.371622888,0.272569226,0.413154068,0.20168697100000002,0.062459553,0.26711119899999997,0.191691893,0.24418688100000002,0.19759608899999997,0.376273701,0.154727359,0.35283498399999996,0.461301047,0.15614755,0.249472936,0.320358486,0.093404684,0.19759608899999997,0.126238391,0.42504148,0.225903943,5.91e-05,0.299993052,0.370161151,0.381852029,0.42603889100000003,0.472320808,0.21221616399999998
PSYCH,0.661338906,0.187864508,0.126164004,0.167656921,0.208504038,0.269534278,0.240777772,0.5697205120000001,0.276088921,0.29476905600000003,0.117695319,0.240750049,0.5614245520000001,0.061246330999999994,0.178425523,0.26347038100000003,0.185498763,0.265988881,0.5614245520000001,0.18839469399999997,0.223223699,0.0,0.199170504,0.221864693,0.33702429700000003,0.20344071600000002,0.320816078,0.276072361,0.12330335099999999,0.250540048,0.42097204,0.16811022,0.26347038100000003,0.147217252,0.109171461,0.320816078,0.160568871,0.28574712,0.187030748,0.20168697100000002,0.137614746,0.168512909,0.23541927399999998,0.273674995,0.38195637299999996,0.174996935
NUTRSCI,0.609094398,0.094179649,0.123808314,0.400820374,0.09186509400000001,0.275681787,0.261494422,0.5425329489999999,0.20177615399999999,0.16337048699999998,0.342299508,0.474914577,0.494746321,0.21368663899999998,0.379064704,0.067773949,0.292258364,0.47573508600000003,0.494746321,0.062587196,0.281097029,0.235933173,0.218546162,0.44741796799999994,0.247888303,0.034958258,0.21221658300000001,0.512003621,0.138710889,0.486469,0.194272978,0.36198064700000004,0.067773949,0.194156633,0.22830947399999998,0.21221658300000001,0.149580603,0.19631698,0.40725428799999996,0.275229417,0.170971955,0.32173315199999997,0.46483990299999994,0.214775584,0.617856713,0.06935543200000001
