exam_id,course,acadorg,enrollment,modality,prefdate,prefdate2,prefdate3
1-CHEM-2880-LEC-1010052-1,CHEM 2880,CHEM,11,In person,2021-03-23,2021-03-25,2021-03-18
1-CHEM-2880-LEC-1010052-2,CHEM 2880,CHEM,11,In person,2021-04-29,2021-05-04,2021-04-22
1-CHEM-3580-LEC-3778528-1,CHEM 3580,CHEM,476,In person,2021-03-04,2021-03-16,2021-03-02
1-CHEM-3580-LEC-3778528-2,CHEM 3580,CHEM,476,In person,2021-03-30,2021-04-01,2021-03-25
1-CHEM-3580-LEC-3778528-3,CHEM 3580,CHEM,476,In person,2021-04-29,2021-05-04,2021-04-22
1-CHEM-3590-LEC-4574009-1,CHEM 3590,CHEM,55,In person,2021-03-18,2021-03-16,2021-03-23
1-CHEM-3590-LEC-4574009-2,CHEM 3590,CHEM,55,In person,2021-04-22,2021-04-29,2021-04-20
1-CHEM-3900-LEC-4045635-1,CHEM 3900,CHEM,70,In person,2021-03-18,2021-03-16,2021-03-23
1-CHEM-3900-LEC-4045635-2,CHEM 3900,CHEM,70,In person,2021-04-15,2021-04-13,2021-04-20
1-CHEM-4100-LEC-4045637-1,CHEM 4100,CHEM,61,In person,2021-03-23,2021-03-25,2021-03-18
1-CHEM-4100-LEC-4045637-2,CHEM 4100,CHEM,61,In person,2021-04-29,2021-05-04,2021-04-22
1-LATIN-1202-SEM-4829230-1,LATIN 1202,CLASS,15,Online,2021-03-23,2021-03-25,2021-03-18
1-LATIN-2203-LEC-2927775-1,LATIN 2203,CLASS,15,Online,2021-03-23,2021-03-18,2021-03-25
1-CS-1110-LEC-1030545-1,CS 1110,COMS,520,In person,2021-03-25,2021-03-23,2021-03-30
1-CS-1110-LEC-1030545-2,CS 1110,COMS,520,In person,2021-04-22,2021-04-20,2021-04-29
1-CS-1112-LEC-2122809-1,CS 1112,COMS,180,In person,2021-04-01,2021-03-30,2021-04-06
1-CS-1112-LEC-2122809-2,CS 1112,COMS,180,In person,2021-04-29,2021-04-22,2021-05-04
1-CS-2110-LEC-1013445-1,CS 2110,COMS,596,Online,2021-03-30,2021-04-01,2021-03-25
1-CS-2800-LEC-1317422-1,CS 2800,COMS,350,In person,2021-03-25,2021-03-30,2021-03-23
1-CS-2800-LEC-1317422-2,CS 2800,COMS,350,In person,2021-04-29,2021-05-04,2021-04-22
1-CS-3110-LEC-1274957-1,CS 3110,COMS,491,Online,2021-03-18,2021-03-23,2021-03-16
1-CS-3110-LEC-1274957-2,CS 3110,COMS,491,Online,2021-04-15,2021-04-20,2021-04-13
1-CS-3410-LEC-4149077-1,CS 3410,COMS,332,Online,2021-03-23,2021-03-25,2021-03-18
1-CS-3410-LEC-4149077-2,CS 3410,COMS,332,Online,2021-04-29,2021-05-04,2021-04-22
1-CS-4120-LEC-1261522-1,CS 4120,COMS,71,Online,2021-03-04,2021-03-16,2021-03-02
1-CS-4410-LEC-1023811-1,CS 4410,COMS,230,Online,2021-04-01,2021-03-30,2021-04-06
1-CS-4670-LEC-4904205-1,CS 4670,COMS,175,Online,2021-04-06,2021-04-01,2021-04-08
1-CS-4700-LEC-3497310-1,CS 4700,COMS,250,In person,2021-03-30,2021-03-25,2021-04-01
1-CS-4780-LEC-1299423-1,CS 4780,COMS,300,Online,2021-03-30,2021-03-25,2021-04-01
1-CS-4780-LEC-1299423-2,CS 4780,COMS,300,In person,2021-05-04,2021-05-06,2021-04-29
1-CS-4787-LEC-4904245-1,CS 4787,COMS,90,Online,2021-03-16,2021-03-04,2021-03-18
1-CS-4820-LEC-1041188-1,CS 4820,COMS,166,Online,2021-03-16,2021-03-18,2021-03-04
1-CS-4820-LEC-1041188-2,CS 4820,COMS,166,Online,2021-04-13,2021-04-15,2021-04-08
1-EAS-1700-LEC-1035118-1,EAS 1700,EAS,150,Online,2021-03-25,2021-03-23,2021-03-30
1-EAS-3420-LEC-1845380-1,EAS 3420,EAS,19,In person,2021-03-30,2021-04-01,2021-03-25
1-EAS-4550-LEC-5120009-1,EAS 4550,EAS,19,In person,2021-03-18,2021-03-16,2021-03-23
1-EAS-4550-LEC-5120009-2,EAS 4550,EAS,19,In person,2021-04-15,2021-04-13,2021-04-20
1-ECE-1210-LEC-1770255-1,ECE 1210,ECE,145,In person,2021-03-16,2021-03-18,2021-03-04
1-ECE-1210-LEC-1770255-2,ECE 1210,ECE,145,In person,2021-04-08,2021-04-13,2021-04-06
1-ECE-2200-LEC-1008745-1,ECE 2200,ECE,70,In person,2021-03-23,2021-03-25,2021-03-18
1-ECE-2200-LEC-1008745-2,ECE 2200,ECE,70,In person,2021-04-29,2021-05-04,2021-04-22
1-ECE-4840-LEC-1014127-1,ECE 4840,ECE,34,Online,2021-03-04,2021-03-02,2021-03-16
1-ECE-4840-LEC-1014127-2,ECE 4840,ECE,34,Online,2021-04-06,2021-04-08,2021-04-01
1-ECE-5745-LEC-2458154-1,ECE 5745,ECE,30,In person,2021-04-13,2021-04-08,2021-04-15
1-ENGRD-2100-LEC-5007765-1,ENGRD 2100,ECE,58,Online,2021-03-16,2021-03-18,2021-03-04
1-ENGRD-2100-LEC-5007765-2,ENGRD 2100,ECE,58,Online,2021-04-13,2021-04-15,2021-04-08
1-ECON-1110-LEC-1013157-1,ECON 1110,ECON,499,Online,2021-03-18,2021-03-16,2021-03-23
1-ECON-1110-LEC-1013157-2,ECON 1110,ECON,499,Online,2021-04-15,2021-04-13,2021-04-20
1-ECON-1120-LEC-4995316-1,ECON 1120,ECON,219,Online,2021-03-23,2021-03-18,2021-03-25
1-ECON-1120-LEC-4995316-2,ECON 1120,ECON,219,Online,2021-04-20,2021-04-15,2021-04-22
1-ECON-3810-LEC-1002152-1,ECON 3810,ECON,117,Online,2021-03-30,2021-03-25,2021-04-01
1-ENGRD-3200-LEC-1022345-1,ENGRD 3200,EN,70,In person,2021-04-01,2021-03-30,2021-04-06
1-HADM-1410-LEC-4995316-1,HADM 1410,HA,180,In person,2021-03-16,2021-03-04,2021-03-18
1-HADM-1410-LEC-4995316-2,HADM 1410,HA,180,In person,2021-04-20,2021-04-15,2021-04-22
1-HADM-4300-LEC-1025669-1,HADM 4300,HA,525,Online,2021-03-23,2021-03-25,2021-03-18
1-HADM-4375-LEC-4573817-1,HADM 4375,HA,20,In person,2021-03-30,2021-04-01,2021-03-25
1-ILRST-2110-LEC-4264912-1,ILRST 2110,ILR,44,Online,2021-04-08,2021-04-13,2021-04-06
1-ILRST-3110-LEC-4264912-1,ILRST 3110,ILR,119,Online,2021-03-25,2021-03-30,2021-03-23
1-ENGRD-2020-LEC-5010002-1,ENGRD 2020,MAE,100,In person,2021-03-18,2021-03-16,2021-03-23
1-ENGRD-2020-LEC-5010002-2,ENGRD 2020,MAE,100,In person,2021-04-13,2021-04-15,2021-04-08
1-MAE-2030-LEC-1000196-1,MAE 2030,MAE,150,In person,2021-03-16,2021-03-04,2021-03-18
1-MAE-2030-LEC-1000196-2,MAE 2030,MAE,150,In person,2021-04-08,2021-04-06,2021-04-13
1-MAE-2030-LEC-1000196-3,MAE 2030,MAE,150,In person,2021-05-06,2021-05-04,2021-05-11
1-MAE-3240-LEC-2316377-1,MAE 3240,MAE,130,In person,2021-03-16,2021-03-18,2021-03-04
1-MAE-3240-LEC-2316377-2,MAE 3240,MAE,130,In person,2021-04-15,2021-04-13,2021-04-20
1-MAE-3260-LEC-1295723-1,MAE 3260,MAE,125,In person,2021-04-01,2021-03-30,2021-04-06
1-MAE-3260-LEC-1295723-2,MAE 3260,MAE,125,In person,2021-04-22,2021-04-20,2021-04-29
1-MAE-4230-LEC-2971483-1,MAE 4230,MAE,50,Online,2021-03-16,2021-03-04,2021-03-18
1-MAE-4230-LEC-2971483-2,MAE 4230,MAE,50,Online,2021-04-13,2021-04-08,2021-04-15
1-MAE-4510-LEC-1009555-1,MAE 4510,MAE,88,Online,2021-03-04,2021-03-16,2021-03-02
1-MAE-4510-LEC-1009555-2,MAE 4510,MAE,88,Online,2021-04-01,2021-03-30,2021-04-06
1-MAE-4510-LEC-1009555-3,MAE 4510,MAE,88,Online,2021-04-22,2021-04-29,2021-04-20
1-MAE-6510-LEC-1011259-1,MAE 6510,MAE,6,Online,2021-04-08,2021-04-13,2021-04-06
1-MAE-6510-LEC-1011259-2,MAE 6510,MAE,6,Online,2021-04-29,2021-05-04,2021-04-22
1-MATH-1110-LEC-4970435-1,MATH 1110,MATH,230,Online,2021-03-04,2021-03-02,2021-03-16
1-MATH-1110-LEC-4970435-2,MATH 1110,MATH,230,Online,2021-04-01,2021-03-30,2021-04-06
1-MATH-1110-LEC-4970435-3,MATH 1110,MATH,230,Online,2021-04-29,2021-05-04,2021-04-22
1-MATH-1120-LEC-4410426-1,MATH 1120,MATH,153,Online,2021-03-18,2021-03-23,2021-03-16
1-MATH-1120-LEC-4410426-2,MATH 1120,MATH,153,Online,2021-04-22,2021-04-20,2021-04-29
1-MATH-1340-LEC-5116885-2,MATH 1340,MATH,77,Online,2021-03-25,2021-03-30,2021-03-23
1-MATH-1340-LEC-5116885-3,MATH 1340,MATH,77,Online,2021-04-20,2021-04-22,2021-04-15
1-MATH-1910-LEC-3100315-1,MATH 1910,MATH,19,Online,2021-03-04,2021-03-02,2021-03-16
1-MATH-1910-LEC-3100315-2,MATH 1910,MATH,19,Online,2021-04-08,2021-04-06,2021-04-13
1-MATH-1920-LEC-2554568-1,MATH 1920,MATH,453,Online,2021-03-04,2021-03-02,2021-03-16
1-MATH-1920-LEC-2554568-2,MATH 1920,MATH,453,Online,2021-04-01,2021-04-06,2021-03-30
1-MATH-1920-LEC-2554568-3,MATH 1920,MATH,453,Online,2021-04-29,2021-05-04,2021-04-22
1-MATH-2130-LEC-1771018-1,MATH 2130,MATH,51,Online,2021-03-02,2021-03-04,2021-02-25
1-MATH-2130-LEC-1771018-2,MATH 2130,MATH,51,Online,2021-04-20,2021-04-22,2021-04-15
1-MATH-2210-LEC-1836834-1,MATH 2210,MATH,126,Online,2021-03-18,2021-03-16,2021-03-23
1-MATH-2210-LEC-1836834-2,MATH 2210,MATH,126,Online,2021-04-15,2021-04-13,2021-04-20
1-MATH-2220-LEC-5111756-1,MATH 2220,MATH,108,Online,2021-03-25,2021-03-23,2021-03-30
1-MATH-2220-LEC-5111756-2,MATH 2220,MATH,108,Online,2021-04-20,2021-04-22,2021-04-15
