,Morrison Hall,Physical Sciences Building,Rockefeller Hall,Olin Hall,Baker Laboratory,White Hall,Weill Hall,Riley-Robb Hall,Plant Science Building,Warren Hall,Statler Hall Auditorium,Thurston Hall,Stocking Hall West,Ives Hall,Willard Straight Hall,Martha Van Rensselaer Hall,Morrill Hall,Frank H T Rhodes Hall,Stocking Hall,Clark Hall,McGraw Hall,Uris Hall,Biological Sciences,Upson Hall,Emerson Hall,Savage Hall,Mann Library,Snee Hall,Malott Hall,Hollister Hall,Balch Hall,Bill and Melinda Gates Hall,Martha Van Rensselaer Hall Wst,Goldwin Smith Hall,King-Shaw Hall,Mann Library Addition,Kennedy Hall,Milstein Hall,Phillips Hall,Biotechnology,Klarman Hall,Uris Library,Anabel Taylor Hall,Sibley Hall,Schwartz Ctr Performing Arts,Bailey Hall
Martha Van Rensselaer Hall,0.543746347,0.15836382400000001,0.172672359,0.431120934,0.158815948,0.34257150700000005,0.222994268,0.48053775600000004,0.146129862,0.09864061699999999,0.356358206,0.49309372,0.42898577600000004,0.22646651,0.423463441,0.0,0.350485948,0.476851087,0.42898577600000004,0.12326604099999999,0.344454108,0.26347038100000003,0.187864508,0.458087539,0.18480666399999998,0.07440305900000001,0.14796125,0.5355491720000001,0.146155192,0.509763993,0.213686084,0.36206476600000004,0.02466011,0.25276159800000003,0.226010966,0.14796125,0.13493861699999998,0.26348989,0.41603801799999995,0.249472936,0.22811585,0.37427866200000004,0.49845291700000005,0.28253718899999997,0.641385684,0.09037216
Morrill Hall,0.831965695,0.19998397,0.180760411,0.226051974,0.21013241,0.11769529,0.41509974299999997,0.74524851,0.42411980200000005,0.42055775700000003,0.26953696899999996,0.335186895,0.726121955,0.239877318,0.13917960000000001,0.350485948,0.0,0.41107843299999997,0.726121955,0.229863701,0.055568843,0.185498763,0.368407515,0.34879144700000003,0.4850539000000001,0.276083211,0.459544626,0.33987967700000005,0.261758115,0.320779329,0.41749516700000006,0.3387521,0.335222568,0.098161048,0.290279915,0.459544626,0.30817263,0.199670557,0.329832648,0.383634084,0.122374144,0.055568812,0.256377011,0.17046656899999998,0.42992993,0.268618677
Frank H T Rhodes Hall,0.649347479,0.45005138100000003,0.38787509600000003,0.206356615,0.470781182,0.519087526,0.313415518,0.546440165,0.406571909,0.457279776,0.14958123199999998,0.122383491,0.583195541,0.263627842,0.308129547,0.476851087,0.41107843299999997,0.0,0.583195541,0.442936084,0.46250267,0.265988881,0.31273237600000003,0.069818437,0.448661875,0.440777176,0.455260392,0.174777483,0.33760570700000003,0.163580396,0.669651669,0.114826985,0.48476636100000003,0.408563921,0.251014373,0.455260392,0.34230062899999997,0.551066485,0.082016299,0.257882395,0.4026229,0.36647220700000005,0.23815935300000002,0.536746951,0.239877827,0.406620917
Stocking Hall,0.11523501,0.572323812,0.555142354,0.68512631,0.579425587,0.755783856,0.322212771,0.096834343,0.30564257100000003,0.331378218,0.568618721,0.6776003290000001,0.0,0.500178239,0.736130057,0.42898577600000004,0.726121955,0.583195541,0.0,0.536320904,0.74053797,0.5614245520000001,0.362439749,0.617762933,0.249015233,0.48603469899999996,0.282842859,0.735147523,0.46452207799999995,0.714003185,0.5908700929999999,0.513064052,0.453457358,0.6413734179999999,0.454718285,0.282842859,0.41807020200000006,0.690692256,0.5820046329999999,0.371622888,0.616418126,0.725931818,0.751989273,0.706368815,0.8204697240000001,0.474833745
Clark Hall,0.6490819170000001,0.036388911,0.065864792,0.34783350700000004,0.045185925999999994,0.22216425899999998,0.27201707199999997,0.5760652470000001,0.233560945,0.208322439,0.301767203,0.42912131600000003,0.536320904,0.179907645,0.318963633,0.12326604099999999,0.229863701,0.442936084,0.536320904,0.0,0.22119466399999999,0.18839469399999997,0.224327086,0.40748476200000006,0.287306749,0.051503045,0.25455428399999996,0.46225486,0.11982174,0.43709435799999996,0.232582192,0.33235640000000005,0.105755775,0.131710245,0.20697672600000003,0.25455428399999996,0.14921683800000002,0.160175025,0.369453904,0.272569226,0.10838530099999999,0.259421209,0.409410166,0.170970415,0.567449369,0.06578018299999999
McGraw Hall,0.849227596,0.186958277,0.18580449300000002,0.281337851,0.19188288899999997,0.062250667999999995,0.438714114,0.766325877,0.43541194,0.42383196100000003,0.318015974,0.390190088,0.74053797,0.271265596,0.193937544,0.344454108,0.055568843,0.46250267,0.74053797,0.22119466399999999,0.0,0.223223699,0.390394835,0.40176247200000004,0.49481533,0.271289133,0.466287612,0.395441713,0.278070279,0.37631800299999996,0.382917674,0.38437121399999996,0.32625643600000004,0.09916545800000001,0.321047195,0.466287612,0.324052679,0.15472472199999998,0.38076274,0.413154068,0.124233804,0.110667841,0.311420632,0.12315124,0.484843875,0.27084899100000004
Uris Hall,0.661338906,0.187864508,0.126164004,0.167656921,0.208504038,0.269534278,0.240777772,0.5697205120000001,0.276088921,0.29476905600000003,0.117695319,0.240750049,0.5614245520000001,0.061246330999999994,0.178425523,0.26347038100000003,0.185498763,0.265988881,0.5614245520000001,0.18839469399999997,0.223223699,0.0,0.199170504,0.221864693,0.33702429700000003,0.20344071600000002,0.320816078,0.276072361,0.12330335099999999,0.250540048,0.42097204,0.16811022,0.260939508,0.147217252,0.109171461,0.320816078,0.160568871,0.28574712,0.187030748,0.20168697100000002,0.137614746,0.168512909,0.23541927399999998,0.273674995,0.38195637299999996,0.174996935
Biological Sciences,0.464528602,0.2534754,0.21385897899999998,0.33793947399999996,0.26859530800000003,0.41757082,0.049321705,0.37693759600000004,0.095845674,0.14498858,0.23047092800000002,0.36230982799999994,0.362439749,0.137977582,0.375715976,0.187864508,0.368407515,0.31273237600000003,0.362439749,0.224327086,0.390394835,0.199170504,0.0,0.31313343899999996,0.148557475,0.189726725,0.14554642,0.414809506,0.115233709,0.39017681600000004,0.40067636100000004,0.20393491600000002,0.20469881399999998,0.293148192,0.09594524300000001,0.14554642,0.075277743,0.38201377799999997,0.27050075100000004,0.062459553,0.270262518,0.36401854899999997,0.407895348,0.386816649,0.515111117,0.1603447
Upson Hall,0.692258761,0.409648579,0.34767754700000003,0.1370455,0.43032353799999995,0.46020609100000004,0.32459454600000004,0.590042005,0.408975026,0.453127248,0.10574080300000001,0.061638806,0.617762933,0.234202685,0.239532233,0.458087539,0.34879144700000003,0.069818437,0.617762933,0.40748476200000006,0.40176247200000004,0.221864693,0.31313343899999996,0.0,0.45777740200000006,0.412844965,0.458653154,0.11921481,0.313325144,0.102082425,0.6386989270000001,0.110964171,0.462617664,0.356426979,0.235031503,0.458653154,0.327256413,0.5011598389999999,0.042980582,0.26711119899999997,0.353675623,0.30164758399999997,0.170031767,0.48419104700000004,0.205825902,0.37995734200000003
Emerson Hall,0.36215483,0.32332063,0.309023576,0.485510283,0.33056326199999997,0.507272441,0.135249583,0.2957387,0.061634534000000005,0.086394234,0.378979358,0.50937045,0.249015233,0.278074317,0.515438118,0.18480666399999998,0.4850539000000001,0.448661875,0.249015233,0.287306749,0.49481533,0.33702429700000003,0.148557475,0.45777740200000006,0.0,0.237165846,0.03763864,0.562751414,0.224991561,0.538325935,0.375298345,0.347028857,0.20944320600000002,0.395958796,0.24275276699999998,0.03763864,0.179833245,0.44269499,0.415815857,0.191691893,0.37064476399999996,0.49171790200000004,0.555687178,0.45753794,0.6617957870000001,0.226328726
